200 13930
-1
32 18 131
0 52 95
73 59 136
31 97 94
97 24 92
55 83 132
92 77 125
2 68 140
98 15 92
26 98 121
17 28 118
1 21 80
79 51 108
41 100 107
96 90 114
16 14 124
99 36 117
58 84 90
47 49 109
22 87 76
79 82 122
10 17 100
86 25 100
56 99 107
16 89 105
7 1 133
33 39 105
85 75 91
58 26 77
25 24 124
52 92 115
8 65 108
23 95 123
94 14 105
76 97 102
61 46 140
27 30 78
68 68 139
35 46 106
89 57 108
32 23 89
15 95 118
36 22 99
79 40 83
59 57 129
65 60 121
65 48 132
83 71 107
37 25 133
31 34 77
20 76 72
20 48 121
2 56 98
84 44 122
16 23 79
68 56 131
93 4 111
69 36 100
23 17 121
80 89 122
80 0 114
27 67 130
12 91 74
30 44 79
82 16 102
83 89 119
46 36 82
13 78 82
6 66 122
47 78 137
53 72 119
19 40 109
11 83 70
3 59 111
68 6 114
39 28 127
70 28 140
63 14 80
21 29 83
75 36 116
0 92 97
10 72 135
56 64 106
69 35 106
41 35 127
9 11 138
90 64 99
27 63 94
53 58 104
22 77 81
34 52 93
84 100 93
44 37 81
38 82 75
83 50 111
90 84 95
84 94 137
89 7 92
75 9 79
5 46 133
93 11 124
81 83 124
39 22 121
11 93 99
31 42 96
28 69 89
52 9 80
40 91 129
94 12 75
24 3 132
59 84 76
10 28 91
83 87 71
44 43 113
19 43 88
23 51 128
84 0 75
75 76 104
82 29 102
63 9 96
44 72 88
76 17 88
75 10 106
26 77 87
77 24 93
94 46 99
61 35 112
50 54 126
59 44 135
9 38 141
3 66 115
100 79 120
6 73 112
16 39 70
90 32 138
33 23 82
90 58 138
49 13 135
32 86 97
38 7 124
61 48 73
68 71 81
62 49 90
97 80 132
95 59 90
22 76 97
63 63 77
58 55 82
0 89 92
63 7 135
48 6 91
12 13 117
76 70 122
78 22 70
62 83 75
9 79 100
94 46 137
79 99 110
46 2 120
58 84 122
35 52 92
23 88 109
97 31 87
81 94 80
13 3 130
61 18 100
34 71 128
91 63 70
87 6 81
51 48 93
44 66 72
61 26 125
15 7 105
78 58 114
48 73 105
50 96 91
6 85 71
13 74 97
49 94 71
65 27 113
27 29 100
12 1 141
48 35 111
45 41 90
7 6 98
11 91 94
71 6 134
34 7 113
0 9 83
57 96 103
12 64 123
62 87 141
80 15 77
43 74 120
7 86 90
82 58 121
9 44 134
41 98 82
87 66 110
43 24 76
-1
2 0 57
2 1 73
3 2 56
4 0 65
4 1 100
4 2 42
4 3 98
5 1 63
5 2 30
5 3 27
5 4 72
6 0 84
6 1 95
6 4 53
6 5 37
7 0 58
7 2 71
7 3 41
7 4 104
7 5 55
7 6 90
8 0 66
8 1 104
8 2 50
8 3 105
8 4 9
8 5 80
8 6 62
8 7 109
9 0 80
9 1 52
9 3 5
9 4 102
9 5 32
9 6 69
9 7 38
10 0 18
10 1 29
10 2 64
10 4 80
10 5 66
10 7 42
10 8 82
10 9 70
11 0 31
11 3 81
11 4 96
11 5 82
11 6 106
11 7 47
11 8 97
11 9 80
11 10 17
12 0 57
12 1 79
12 4 32
12 5 40
12 6 29
12 7 78
12 8 40
12 10 66
12 11 83
13 0 82
13 5 22
13 6 55
13 7 50
13 9 15
13 10 75
13 11 88
13 12 62
14 0 96
14 1 103
14 3 65
14 4 66
14 6 13
14 9 70
14 10 100
14 12 42
14 13 55
15 0 16
15 1 41
15 3 84
15 4 81
15 5 79
15 7 55
15 8 82
15 12 73
15 13 89
16 0 69
16 1 100
16 4 12
